heave,hove,hove,ชัก; ยก; ลาก
help,helped,helped,ช่วยเหลือ
hew,hewed,hewn,โค่น; ฟัน
hide,hid,hidden,ซ่อน
hinder,hindered,hindered,ขัดขวาง; ขัดแข้งขัดขา
hiss,hissed,hissed,ทำเสียงฟ่อ; ทำเสียงไม่พอใจ
hit,hit,hit,ตี
hoax,hoaxed,hoaxed,หลอกลวง; เล่นกล
hold,held,held,ถือ
hop,hopped,hopped,กระโดด; โลดเต้น
hope,hoped,hoped,คาดหวัง; คาดคิด
horrify,horrified,horrified,ทำให้กลัว; ทำให้ตกใจ
hug,hugged,hugged,กอด; โอบรัด
hum,hummed,hummed,ร้องเพลงในคอ
humiliate,humiliated,humiliated,ฉีกหน้า; ทำให้ขายหน้า
hunt,hunted,hunted,ล่า; ไล่กวด
hurl,hurled,hurled,ขว้าง; ด่าทอ
hurry,hurried,hurried,เร่งรีบ
hurt,hurt,hurt,ทำร้าย
hush,hushed,hushed,จุปาก; ปิดปาก; ปิดบัง
hustle,hustled,hustled,เร่งรีบ
hypnotise (UK),hypnotized,hypnotized,สะกดจิต
hypnotize (US),hypnotized,hypnotized,สะกดจิต
idealize,idealized,idealized,ทำให้ตามอุดมคติ
identify,identified,identified,แยกแยะ; ชี้ตัว; แสดงตัว
idolize,idolized,idolized,เทอดทูน; เลื่อมใสมากเกินไป
ignite,ignited,ignited,จุดไฟ; จุดชนวน
ignore,ignored,ignored,ไม่สนใจ; ละเลย
illtreat,illtreated,illtreated,การรักษา; การรักษาที่ไม่ดี
ill-treat,ill-treated,ill-treated,กดขี่ข่มเหง; ทารุณ
illuminate,illuminated,illuminated,ส่องสว่าง; ชี้แจง
illumine,illumined,illumined,ทำให้แจ่มแจ้ง; ทำให้สว่าง
illustrate,illustrated,illustrated,แสดง; ทำให้เห็นภาพ
imagine,imagined,imagined,จินตนาการ; นึกคิด
imbibe,imbibed,imbibed,ดื่ม; ดูดซึม
imitate,imitated,imitated,เลียนแบบ; ปลอม
immerse,immersed,immersed,แช่; หมกมุ่น
immolate,immolated,immolated,บูชายัญ; สังเวย
immure,immured,immured,กักขัง; สร้างกำแพงล้อมรอบ
impair,impaired,impaired,ทำให้แย่ลง
impart,imparted,imparted,แจ้ง; บอก
impeach,impeached,impeached,ฟ้องร้อง; กล่าวหา
impede,impeded,impeded,ขัดขวาง
